DATE,tavg,tmin,tmax,prcp,wdir,wspd,wpgt,pres
09-13-23,19,15.7,21.5,,322,13.1,38.9,1013
09-14-23,15.3,11.6,19.2,,317,10.2,25.9,1021.8
09-15-23,15.8,9.8,22.1,,109,11.8,31.5,1022.2
09-16-23,18,12.5,24.6,,118,12.4,29.6,1017.7
09-17-23,19.3,13.2,26.2,,136,7.6,22.2,1015.4
09-18-23,20.8,16.2,26.8,,162,13.8,33.3,1009.3
09-19-23,18.2,15.9,20.8,,233,16.7,44.5,1008.9
09-20-23,18.5,14.3,24,,204,15.4,37,1010.1
09-21-23,20.3,14.1,27.8,,152,13.6,31.5,1003.8
09-22-23,17.3,14.5,18.6,,204,11.7,25.9,1002.2
09-23-23,14.6,12,17.6,,233,13.4,37,1012.1
09-24-23,13.7,9.6,19.1,,256,9,20.4,1025.3
09-25-23,14.4,8.5,21.1,,135,9.9,25.9,1026.8
09-26-23,17.1,11.3,23.6,,118,9.4,24.1,1023.1
09-27-23,18.9,13.4,25.8,,140,8.1,20.4,1020.6
09-28-23,18.7,13.5,25.7,,181,9.7,20.4,1017.3
